,date,22
0,2004-01m,100
1,2004-02m,98
2,2004-03m,97
3,2004-04m,84
4,2004-05m,90
5,2004-06m,91
6,2004-07m,75
7,2004-08m,67
8,2004-09m,84
9,2004-10m,89
10,2004-11m,97
11,2004-12m,82
12,2005-01m,94
13,2005-02m,98
14,2005-03m,85
15,2005-04m,86
16,2005-05m,86
17,2005-06m,80
18,2005-07m,82
19,2005-08m,68
20,2005-09m,84
21,2005-10m,89
22,2005-11m,100
23,2005-12m,81
24,2006-01m,89
25,2006-02m,89
26,2006-03m,86
27,2006-04m,74
28,2006-05m,83
29,2006-06m,72
30,2006-07m,65
31,2006-08m,61
32,2006-09m,74
33,2006-10m,78
34,2006-11m,83
35,2006-12m,69
36,2007-01m,79
37,2007-02m,76
38,2007-03m,72
39,2007-04m,64
40,2007-05m,69
41,2007-06m,66
42,2007-07m,74
43,2007-08m,54
44,2007-09m,65
45,2007-10m,67
46,2007-11m,73
47,2007-12m,59
48,2008-01m,68
49,2008-02m,65
50,2008-03m,60
51,2008-04m,60
52,2008-05m,56
53,2008-06m,57
54,2008-07m,53
55,2008-08m,50
56,2008-09m,58
57,2008-10m,61
58,2008-11m,64
59,2008-12m,55
60,2009-01m,60
61,2009-02m,59
62,2009-03m,61
63,2009-04m,55
64,2009-05m,59
65,2009-06m,56
66,2009-07m,56
67,2009-08m,52
68,2009-09m,59
69,2009-10m,61
70,2009-11m,67
71,2009-12m,57
72,2010-01m,61
73,2010-02m,61
74,2010-03m,64
75,2010-04m,58
76,2010-05m,59
77,2010-06m,54
78,2010-07m,53
79,2010-08m,50
80,2010-09m,55
81,2010-10m,58
82,2010-11m,63
83,2010-12m,53
84,2011-01m,63
85,2011-02m,61
86,2011-03m,58
87,2011-04m,54
88,2011-05m,60
89,2011-06m,57
90,2011-07m,59
91,2011-08m,53
92,2011-09m,57
93,2011-10m,59
94,2011-11m,63
95,2011-12m,58
96,2012-01m,66
97,2012-02m,61
98,2012-03m,56
99,2012-04m,56
100,2012-05m,56
101,2012-06m,53
102,2012-07m,49
103,2012-08m,47
104,2012-09m,55
105,2012-10m,55
106,2012-11m,57
107,2012-12m,54
108,2013-01m,59
109,2013-02m,57
110,2013-03m,56
111,2013-04m,56
112,2013-05m,57
113,2013-06m,53
114,2013-07m,45
115,2013-08m,47
116,2013-09m,50
117,2013-10m,53
118,2013-11m,56
119,2013-12m,53
120,2014-01m,57
121,2014-02m,56
122,2014-03m,56
123,2014-04m,56
124,2014-05m,55
125,2014-06m,52
126,2014-07m,47
127,2014-08m,46
128,2014-09m,49
129,2014-10m,52
130,2014-11m,54
131,2014-12m,49
132,2015-01m,54
133,2015-02m,53
134,2015-03m,55
135,2015-04m,51
136,2015-05m,51
137,2015-06m,51
138,2015-07m,45
139,2015-08m,44
140,2015-09m,48
141,2015-10m,49
142,2015-11m,50
143,2015-12m,48
144,2016-01m,54
145,2016-02m,52
146,2016-03m,50
147,2016-04m,53
148,2016-05m,53
149,2016-06m,51
150,2016-07m,45
151,2016-08m,40
152,2016-09m,47
153,2016-10m,47
154,2016-11m,52
155,2016-12m,48
156,2017-01m,53
157,2017-02m,49
158,2017-03m,50
159,2017-04m,45
160,2017-05m,48
161,2017-06m,46
162,2017-07m,49
163,2017-08m,50
164,2017-09m,50
165,2017-10m,50
166,2017-11m,51
167,2017-12m,48
168,2018-01m,49
169,2018-02m,48
170,2018-03m,48
171,2018-04m,45
172,2018-05m,45
173,2018-06m,41
174,2018-07m,41
175,2018-08m,41
176,2018-09m,44
177,2018-10m,45
178,2018-11m,48
179,2018-12m,45
180,2019-01m,48
181,2019-02m,45
182,2019-03m,47
183,2019-04m,49
184,2019-05m,51
185,2019-06m,41
186,2019-07m,40
187,2019-08m,38
188,2019-09m,42
189,2019-10m,44
190,2019-11m,48
191,2019-12m,44
192,2020-01m,44
193,2020-02m,46
194,2020-03m,46
195,2020-04m,48
196,2020-05m,48
197,2020-06m,52
